Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.1108,-60.2742,90.0,top
C2,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.1108,-63.6767,-90.0,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,111.2277,-52.5018,180.0,top
C4,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.1108,-63.6767,270.0,bottom
C5,22pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.1108,-60.2731,90.0,bottom
C6,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.8474,-56.5912,90.0,bottom
J1,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,92.4052,-58.6205,0.0,top
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,115.1128,-58.6205,0.0,top
R1,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,107.7225,-52.5018,0.0,top
R2,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,104.2408,-52.5018,180.0,top
U1,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,106.8551,-59.3852,0.0,top
U2,TSS463C,SO16L,106.9848,-59.817,90.0,bottom
Y1,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,96.3168,-62.158,90.0,top
Y2,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,96.3422,-62.1496,270.0,bottom
